RT Treatment Days,RT Dose (Gy),anti-PD-1 Treatment Days,anti-PD-1 Dose (mg),anti-CTLA-4 Treatment Days,anti-CTLA-4 Dose (mg),Mean TCP,Mean Time to reach Minimum Tumour Cell Count,List of TCPs,List of Times to Reach Minimum Tumour Cell Count
[10],[15.44206112],[10],0.6,[10],0,0.08737880607871899,10.1,"[1.83156389e-02 3.67879441e-01 9.11881966e-04 4.24835426e-18
 4.97870684e-02]",[10.5 10.  10.  10.  10. ]
[10],[15.44206112],[11],0.6,[10],0,0.2469818839944682,11.120000000000001,"[4.97870684e-02 1.35335283e-01 4.97870684e-02 2.31952283e-16
 1.00000000e+00]",[10.   12.35 10.   10.1  13.15]
[10],[15.44206112],[12],0.6,[10],0,0.2754192280694897,11.15,"[3.67879441e-01 6.73794700e-03 2.47875218e-03 2.54366565e-13
 1.00000000e+00]",[12.25 10.   10.   10.   13.5 ]
[10],[15.44206112],[13],0.6,[10],0,0.03855443611660092,10.430000000000001,"[4.97870684e-02 1.35335283e-01 6.73794700e-03 1.38879439e-11
 9.11881966e-04]",[12.05 10.1  10.   10.   10.  ]
[10],[15.44206112],[14],0.6,[10],0,0.10448844905246875,10.02,"[1.35335283e-01 3.67879441e-01 9.11881966e-04 5.74952226e-19
 1.83156389e-02]",[10.1 10.  10.  10.  10. ]
[10],[15.44206112],[15],0.6,[10],0,0.12820575196426687,11.350000000000001,"[3.67879441e-01 1.35335283e-01 1.35335283e-01 2.31952283e-16
 2.47875218e-03]",[16.6  10.   10.05 10.1  10.  ]
[10],[15.44206112],[16],0.6,[10],0,0.17556642251571658,11.16,"[3.67879441e-01 1.35335283e-01 6.73794700e-03 6.47023493e-26
 3.67879441e-01]",[10.  10.  11.8 10.  14. ]
[10],[15.44206112],[17],0.6,[10],0,0.010638880842175015,10.35,"[9.11881966e-04 4.97870684e-02 1.67017008e-05 1.15482242e-17
 2.47875218e-03]",[10.55 10.   10.   10.   11.2 ]
[10],[15.44206112],[18],0.6,[10],0,0.10565366205931323,13.09,"[1.83156389e-02 3.67879441e-01 6.73794700e-03 6.91440011e-13
 1.35335283e-01]",[20.7  10.   13.15 10.   11.6 ]
[10],[15.44206112],[19],0.6,[10],0,0.22774518347576672,11.95,"[1.35335283e-01 1.00000000e+00 9.11881966e-04 4.24835426e-18
 2.47875218e-03]",[10.   19.75 10.   10.   10.  ]
[10],[15.44206112],[20],0.6,[10],0,0.04435072587741081,10.0,"[1.83156389e-02 1.35335283e-01 1.83156389e-02 5.10908903e-12
 4.97870684e-02]",[10. 10. 10. 10. 10.]
[10],[15.44206112],[21],0.6,[10],0,0.05914483047225989,10.0,"[1.83156389e-02 1.35335283e-01 6.73794700e-03 2.54366565e-13
 1.35335283e-01]",[10. 10. 10. 10. 10.]
[10],[15.44206112],[22],0.6,[10],0,0.01515050724424762,10.129999999999999,"[1.83156389e-02 4.97870684e-02 9.11881966e-04 1.56288219e-18
 6.73794700e-03]",[10.65 10.   10.   10.   10.  ]
[10],[15.44206112],[23],0.6,[10],0,0.13766741520250728,11.3,"[1.35335283e-01 3.67879441e-01 4.97870684e-02 4.65888615e-15
 1.35335283e-01]",[10.  16.5 10.  10.  10. ]
[10],[15.44206112],[24],0.6,[10],0,0.27382535715297984,10.42,"[1.00000000e+00 3.67879441e-01 9.11881966e-04 1.15482242e-17
 3.35462628e-04]",[12.1 10.  10.  10.  10. ]
[10],[15.44206112],[25],0.6,[10],0,0.04832947339428615,10.1,"[6.73794700e-03 1.35335283e-01 4.97870684e-02 4.65888615e-15
 4.97870684e-02]",[10.  10.  10.  10.  10.5]
[10],[15.44206112],[26],0.6,[10],0,0.22357795512489242,10.51,"[4.97870684e-02 4.97870684e-02 1.83156389e-02 3.13913279e-17
 1.00000000e+00]",[10.   10.   10.   10.   12.55]
[10],[15.44206112],[27],0.6,[10],0,0.24779472135018796,10.0,"[3.67879441e-01 3.67879441e-01 1.35335283e-01 2.31952283e-16
 3.67879441e-01]",[10. 10. 10. 10. 10.]
[10],[15.44206112],[28],0.6,[10],0,0.0837247582869247,10.0,"[9.11881966e-04 3.67879441e-01 4.53999298e-05 2.31952283e-16
 4.97870684e-02]",[10. 10. 10. 10. 10.]
[10],[15.44206112],[29],0.6,[10],0,0.017779419664399856,10.73,"[2.47875218e-03 1.83156389e-02 4.97870684e-02 6.30511676e-16
 1.83156389e-02]",[13.65 10.   10.   10.   10.  ]
[10],[15.44206112],[30],0.6,[10],0,0.034402392188768706,10.0,"[1.83156389e-02 1.35335283e-01 4.53999298e-05 2.86251858e-20
 1.83156389e-02]",[10. 10. 10. 10. 10.]
[11],[15.44206112],[10],0.6,[10],0,0.04704897652004862,13.24,"[4.97870684e-02 1.35335283e-01 3.35462628e-04 3.22134029e-27
 4.97870684e-02]",[16.15 17.05 11.   11.   11.  ]
[11],[15.44206112],[11],0.6,[10],0,0.07676681746925593,11.940000000000001,"[3.67879441e-01 2.47875218e-03 6.73794700e-03 5.90009054e-29
 6.73794700e-03]",[14.5 11.  11.  11.  12.2]
[11],[15.44206112],[12],0.6,[10],0,0.005260186096255335,11.0,"[1.83156389e-02 6.73794700e-03 9.11881966e-04 2.86251858e-20
 3.35462628e-04]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[13],0.6,[10],0,0.07457646909090751,11.01,"[2.47875218e-03 3.67879441e-01 4.53999298e-05 8.75651076e-27
 2.47875218e-03]",[11.   11.   11.   11.05 11.  ]
[11],[15.44206112],[14],0.6,[10],0,0.4041588782130801,11.290000000000001,"[1.83156389e-02 1.00000000e+00 2.47875218e-03 1.60381089e-28
 1.00000000e+00]",[11.   11.   11.15 11.   12.3 ]
[11],[15.44206112],[15],0.6,[10],0,0.07774384643332108,11.06,"[1.83156389e-02 3.67879441e-01 4.53999298e-05 7.98490425e-30
 2.47875218e-03]",[11.1 11.  11.2 11.  11. ]
[11],[15.44206112],[16],0.6,[10],0,0.021758167182295944,11.05,"[4.97870684e-02 4.97870684e-02 6.73794700e-03 1.92874985e-22
 2.47875218e-03]",[11.   11.   11.   11.   11.25]
[11],[15.44206112],[17],0.6,[10],0,0.07432110758831315,11.0,"[9.11881966e-04 2.47875218e-03 3.35462628e-04 1.18506486e-27
 3.67879441e-01]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[18],0.6,[10],0,0.023760331518003313,11.0,"[4.97870684e-02 1.83156389e-02 9.11881966e-04 3.97544974e-31
 4.97870684e-02]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[19],0.6,[10],0,0.07861128737266973,14.780000000000001,"[3.67879441e-01 1.83156389e-02 6.73794700e-03 3.22134029e-27
 1.23409804e-04]",[29.9 11.  11.  11.  11. ]
[11],[15.44206112],[20],0.6,[10],0,0.023602637085709748,11.0,"[4.97870684e-02 4.97870684e-02 1.23409804e-04 5.90009054e-29
 1.83156389e-02]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[21],0.6,[10],0,0.00550980795305525,11.690000000000001,"[1.83156389e-02 6.73794700e-03 1.67017008e-05 1.60381089e-28
 2.47875218e-03]",[14.45 11.   11.   11.   11.  ]
[11],[15.44206112],[22],0.6,[10],0,0.22357795512489242,11.8,"[1.83156389e-02 4.97870684e-02 4.97870684e-02 3.53262857e-24
 1.00000000e+00]",[12.15 13.85 11.   11.   11.  ]
[11],[15.44206112],[23],0.6,[10],0,0.005102491663961768,11.43,"[6.73794700e-03 1.83156389e-02 1.23409804e-04 2.38026641e-26
 3.35462628e-04]",[11.   11.   12.   11.   12.15]
[11],[15.44206112],[24],0.6,[10],0,0.061460368850138745,11.11,"[1.35335283e-01 1.83156389e-02 1.83156389e-02 5.90009054e-29
 1.35335283e-01]",[11.3  11.   11.   11.   11.25]
[11],[15.44206112],[25],0.6,[10],0,0.008677185295468815,11.0,"[1.83156389e-02 6.73794700e-03 1.67017008e-05 5.90009054e-29
 1.83156389e-02]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[26],0.6,[10],0,0.028919476468425402,11.09,"[2.47875218e-03 1.35335283e-01 4.53999298e-05 2.61027907e-23
 6.73794700e-03]",[11.4  11.   11.   11.05 11.  ]
[11],[15.44206112],[27],0.6,[10],0,0.03005461741382927,11.49,"[4.97870684e-02 4.97870684e-02 4.97870684e-02 7.98490425e-30
 9.11881966e-04]",[13.4  11.   11.   11.   11.05]
[11],[15.44206112],[28],0.6,[10],0,0.028664114965831045,11.0,"[9.11881966e-04 1.35335283e-01 3.35462628e-04 2.38026641e-26
 6.73794700e-03]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[29],0.6,[10],0,0.028779398833361447,11.0,"[9.11881966e-04 1.35335283e-01 9.11881966e-04 5.24288566e-22
 6.73794700e-03]",[11. 11. 11. 11. 11.]
[11],[15.44206112],[30],0.6,[10],0,0.020906328217812124,11.0,"[4.97870684e-02 4.97870684e-02 2.47875218e-03 3.53262857e-24
 2.47875218e-03]",[11. 11. 11. 11. 11.]
[12],[15.44206112],[10],0.6,[10],0,0.08506326770078926,12.05,"[9.11881966e-04 3.67879441e-01 6.73794700e-03 2.03109266e-42
 4.97870684e-02]",[12.1  12.   12.15 12.   12.  ]
[12],[15.44206112],[11],0.6,[10],0,0.08356132420883665,14.9,"[1.23409804e-04 3.67879441e-01 1.67017008e-05 5.52108228e-42
 4.97870684e-02]",[12.  26.3 12.2 12.  12. ]
[12],[15.44206112],[12],0.6,[10],0,0.2774213924051462,14.170000000000002,"[3.67879441e-01 1.00000000e+00 9.11881966e-04 1.85211677e-45
 1.83156389e-02]",[12.   18.95 12.   12.   15.9 ]
[12],[15.44206112],[13],0.6,[10],0,0.28353664224801933,14.15,"[3.67879441e-01 4.97870684e-02 1.67017008e-05 1.85211677e-45
 1.00000000e+00]",[13.85 12.   12.   12.   20.9 ]
[12],[15.44206112],[14],0.6,[10],0,0.024925544524709506,12.28,"[4.97870684e-02 4.97870684e-02 1.83156389e-02 4.18639400e-51
 6.73794700e-03]",[12.   12.55 12.   12.   12.85]
[12],[15.44206112],[15],0.6,[10],0,0.002406182796064139,12.09,"[2.47875218e-03 6.73794700e-03 3.35462628e-04 8.19401262e-40
 2.47875218e-03]",[12.35 12.   12.1  12.   12.  ]
[12],[15.44206112],[16],0.6,[10],0,0.027274567067132178,12.0,"[1.23409804e-04 1.35335283e-01 2.26032941e-06 2.50656748e-46
 9.11881966e-04]",[12. 12. 12. 12. 12.]
[12],[15.44206112],[17],0.6,[10],0,0.020164296265836983,12.31,"[4.97870684e-02 4.97870684e-02 3.35462628e-04 3.09335001e-50
 9.11881966e-04]",[13.45 12.   12.1  12.   12.  ]
[12],[15.44206112],[18],0.6,[10],0,0.07591497850477211,12.0,"[6.73794700e-03 3.67879441e-01 2.47875218e-03 7.47197234e-43
 2.47875218e-03]",[12. 12. 12. 12. 12.]
[12],[15.44206112],[19],0.6,[10],0,0.014971471191294763,12.32,"[1.83156389e-02 4.97870684e-02 1.67017008e-05 2.03109266e-42
 6.73794700e-03]",[12.  13.6 12.  12.  12. ]
[12],[15.44206112],[20],0.6,[10],0,0.20750863194860458,13.5,"[1.00000000e+00 1.83156389e-02 9.11881966e-04 2.74878501e-43
 1.83156389e-02]",[18.25 12.   12.   12.   13.25]
[12],[15.44206112],[21],0.6,[10],0,0.027748523815924762,12.059999999999999,"[2.47875218e-03 1.35335283e-01 1.67017008e-05 2.22736356e-39
 9.11881966e-04]",[12.3 12.  12.  12.  12. ]
[12],[15.44206112],[22],0.6,[10],0,0.15710964220803111,12.919999999999998,"[3.67879441e-01 3.67879441e-01 2.26032941e-06 2.03109266e-42
 4.97870684e-02]",[15.8 12.8 12.  12.  12. ]
[12],[15.44206112],[23],0.6,[10],0,0.01032339530226526,12.35,"[9.11881966e-04 4.97870684e-02 6.14421235e-06 3.72007598e-44
 9.11881966e-04]",[12.   13.75 12.   12.   12.  ]
[12],[15.44206112],[24],0.6,[10],0,0.07726386427859647,12.84,"[1.23409804e-04 3.67879441e-01 8.31528719e-07 3.72007598e-44
 1.83156389e-02]",[12.  16.  12.2 12.  12. ]
[12],[15.44206112],[25],0.6,[10],0,0.00740242806702667,12.05,"[1.83156389e-02 1.83156389e-02 4.53999298e-05 1.68891188e-48
 3.35462628e-04]",[12.   12.25 12.   12.   12.  ]
[12],[15.44206112],[26],0.6,[10],0,0.009992404462813288,12.01,"[1.23409804e-04 4.97870684e-02 6.14421235e-06 4.59093847e-48
 4.53999298e-05]",[12.   12.   12.05 12.   12.  ]
[12],[15.44206112],[27],0.6,[10],0,0.006425399102961525,12.27,"[1.83156389e-02 6.73794700e-03 6.73794700e-03 2.50656748e-46
 3.35462628e-04]",[13.1  12.   12.25 12.   12.  ]
[12],[15.44206112],[28],0.6,[10],0,0.00020873926228030104,12.1,"[9.11881966e-04 1.23409804e-04 6.14421235e-06 2.22736356e-39
 2.26032941e-06]",[12.5 12.  12.  12.  12. ]
[12],[15.44206112],[29],0.6,[10],0,0.0020347962142137654,12.09,"[9.11881966e-04 2.47875218e-03 4.53999298e-05 1.01122149e-43
 6.73794700e-03]",[12.45 12.   12.   12.   12.  ]
[12],[15.44206112],[30],0.6,[10],0,0.014125371872605394,12.0,"[1.83156389e-02 4.97870684e-02 4.53999298e-05 3.72007598e-44
 2.47875218e-03]",[12. 12. 12. 12. 12.]
[13],[15.44206112],[10],0.6,[10],0,0.014125371872605392,13.02,"[4.97870684e-02 2.47875218e-03 4.53999298e-05 5.44055988e-75
 1.83156389e-02]",[13.1 13.  13.  13.  13. ]
[13],[15.44206112],[11],0.6,[10],0,0.001381517652330747,13.059999999999999,"[1.23409804e-04 6.73794700e-03 8.31528719e-07 4.40853133e-71
 4.53999298e-05]",[13.  13.3 13.  13.  13. ]
[13],[15.44206112],[12],0.6,[10],0,0.007393348136863537,13.680000000000001,"[3.35462628e-04 1.83156389e-02 2.78946809e-10 7.36299712e-76
 1.83156389e-02]",[15.8 13.6 13.  13.  13. ]
[13],[15.44206112],[13],0.6,[10],0,0.010635601682481063,14.0,"[9.11881966e-04 4.97870684e-02 3.05902321e-07 4.52398179e-81
 2.47875218e-03]",[17.55 13.35 13.1  13.   13.  ]
[13],[15.44206112],[14],0.6,[10],0,0.027135400522408648,13.709999999999999,"[1.35335283e-01 3.35462628e-04 1.12535175e-07 5.44055988e-75
 6.14421235e-06]",[16.55 13.   13.   13.   13.  ]
[13],[15.44206112],[15],0.6,[10],0,0.008004382383937848,13.74,"[2.47875218e-03 1.83156389e-02 9.11881966e-04 2.00147013e-75
 1.83156389e-02]",[13.1 16.6 13.  13.  13. ]
[13],[15.44206112],[16],0.6,[10],0,0.2101402421325651,14.419999999999998,"[9.11881966e-04 4.97870684e-02 2.26032941e-06 7.36299712e-76
 1.00000000e+00]",[13.   13.55 13.2  13.   19.35]
[13],[15.44206112],[17],0.6,[10],0,0.0027200270661953433,13.0,"[1.23409804e-04 6.73794700e-03 8.31528719e-07 2.70869527e-76
 6.73794700e-03]",[13. 13. 13. 13. 13.]
[13],[15.44206112],[18],0.6,[10],0,0.006361646917539071,14.64,"[6.73794700e-03 6.73794700e-03 1.67017008e-05 1.47889751e-74
 1.83156389e-02]",[20.1 13.  13.  13.  14.1]
[13],[15.44206112],[19],0.6,[10],0,0.0015548140594891535,13.91,"[1.23409804e-04 9.11881966e-04 8.31528719e-07 2.70869527e-76
 6.73794700e-03]",[17.   13.   13.   13.   13.55]
[13],[15.44206112],[20],0.6,[10],0,0.027137490633620382,13.219999999999999,"[1.67017008e-05 3.35462628e-04 5.60279644e-09 1.09276566e-73
 1.35335283e-01]",[13.  13.  13.1 13.  14. ]
[13],[15.44206112],[21],0.6,[10],0,0.0032000092209199553,13.040000000000001,"[6.73794700e-03 6.73794700e-03 4.53999298e-05 1.77852848e-68
 2.47875218e-03]",[13.  13.  13.1 13.  13.1]
[13],[15.44206112],[22],0.6,[10],0,0.002880895532903139,13.14,"[6.73794700e-03 9.11881966e-04 1.67017008e-05 4.40853133e-71
 6.73794700e-03]",[13.  13.  13.  13.  13.7]
[13],[15.44206112],[23],0.6,[10],0,0.0011738997708123904,13.0,"[2.47875218e-03 9.11881966e-04 1.12535175e-07 4.40853133e-71
 2.47875218e-03]",[13. 13. 13. 13. 13.]
[13],[15.44206112],[24],0.6,[10],0,0.0274351497737024,13.38,"[1.35335283e-01 9.11881966e-04 1.67017008e-05 4.52398179e-81
 9.11881966e-04]",[14.9 13.  13.  13.  13. ]
[13],[15.44206112],[25],0.6,[10],0,0.027201264205518487,13.080000000000002,"[1.35335283e-01 3.35462628e-04 1.12535175e-07 1.47889751e-74
 3.35462628e-04]",[13.4 13.  13.  13.  13. ]
[13],[15.44206112],[26],0.6,[10],0,0.011329686154766505,13.330000000000002,"[1.23409804e-04 4.97870684e-02 5.60279644e-09 4.96114844e-78
 6.73794700e-03]",[13.05 14.25 13.   13.   13.35]
[13],[15.44206112],[27],0.6,[10],0,0.04068762060567711,15.330000000000002,"[1.83156389e-02 4.97870684e-02 1.12535175e-07 9.08666032e-80
 1.35335283e-01]",[17.1  13.   13.75 13.   19.8 ]
[13],[15.44206112],[28],0.6,[10],0,9.300637486445286e-05,13.0,"[6.14421235e-06 1.23409804e-04 1.52299797e-08 9.96473301e-77
 3.35462628e-04]",[13. 13. 13. 13. 13.]
[13],[15.44206112],[29],0.6,[10],0,0.028910848548354302,13.12,"[1.35335283e-01 2.47875218e-03 2.26032941e-06 5.44055988e-75
 6.73794700e-03]",[13.6 13.  13.  13.  13. ]
[13],[15.44206112],[30],0.6,[10],0,0.013687800282643946,13.7,"[3.35462628e-04 1.83156389e-02 8.31528719e-07 1.22974575e-80
 4.97870684e-02]",[13.  13.  13.  13.  16.5]
[14],[15.44206112],[10],0.6,[10],0,0.0014237623235808174,14.02,"[4.53999298e-005 6.73794700e-003 2.06115362e-009 7.25561126e-109
 3.35462628e-004]",[14.1 14.  14.  14.  14. ]
[14],[15.44206112],[11],0.6,[10],0,0.0019105986664746878,14.05,"[2.47875218e-003 6.73794700e-003 8.31528719e-007 1.45732848e-107
 3.35462628e-004]",[14.   14.   14.   14.   14.25]
[14],[15.44206112],[12],0.6,[10],0,0.07510591520768056,14.0,"[9.11881966e-004 3.67879441e-001 3.05902321e-007 1.32891156e-110
 6.73794700e-003]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[13],0.6,[10],0,0.0002528123048454037,14.0,"[1.67017008e-005 9.11881966e-004 1.52299797e-008 3.80403403e-130
 3.35462628e-004]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[14],0.6,[10],0,0.028417986407821443,14.0,"[1.67017008e-005 1.35335283e-001 1.02618796e-010 1.89391702e-131
 6.73794700e-003]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[15],0.6,[10],0,0.0023391127775185803,14.040000000000001,"[6.73794700e-003 2.47875218e-003 1.12535175e-007 2.07693220e-128
 2.47875218e-003]",[14.2 14.  14.  14.  14. ]
[14],[15.44206112],[16],0.6,[10],0,0.0001387542337897195,14.38,"[3.35462628e-004 3.35462628e-004 6.14421235e-006 5.50161108e-118
 1.67017008e-005]",[14.75 14.15 14.   14.   15.  ]
[14],[15.44206112],[17],0.6,[10],0,0.0007028088097852702,14.0,"[9.11881966e-004 2.47875218e-003 1.02618796e-010 1.10502813e-116
 1.23409804e-004]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[18],0.6,[10],0,0.011305169530784911,14.3,"[8.31528719e-007 4.97870684e-002 7.58256043e-010 6.35338381e-135
 6.73794700e-003]",[14.  14.  14.  14.  15.5]
[14],[15.44206112],[19],0.6,[10],0,0.0005204936324040698,14.02,"[1.23409804e-004 2.47875218e-003 2.78946809e-010 9.42925762e-133
 3.05902321e-007]",[14.1 14.  14.  14.  14. ]
[14],[15.44206112],[20],0.6,[10],0,0.00010102077809415597,14.030000000000001,"[1.23409804e-004 3.35462628e-004 8.31528719e-007 5.50161108e-118
 4.53999298e-005]",[14.15 14.   14.   14.   14.  ]
[14],[15.44206112],[21],0.6,[10],0,0.0010585964422429948,14.05,"[3.35462628e-004 2.47875218e-003 1.52299797e-008 5.01681993e-121
 2.47875218e-003]",[14.   14.25 14.   14.   14.  ]
[14],[15.44206112],[22],0.6,[10],0,0.0005640748493803886,14.280000000000001,"[2.47875218e-003 3.35462628e-004 1.52299797e-008 1.53465686e-127
 6.14421235e-006]",[15.4 14.  14.  14.  14. ]
[14],[15.44206112],[23],0.6,[10],0,0.0005139104630276275,14.09,"[4.53999298e-005 4.53999298e-005 2.78946809e-010 1.10502813e-116
 2.47875218e-003]",[14.   14.4  14.05 14.   14.  ]
[14],[15.44206112],[24],0.6,[10],0,0.003669830965097878,14.0,"[1.67017008e-005 1.83156389e-002 1.12535175e-007 2.56313796e-132
 1.67017008e-005]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[25],0.6,[10],0,0.03709201491235723,14.09,"[4.97870684e-002 1.35335283e-001 2.26032941e-006 1.64000715e-114
 3.35462628e-004]",[14.45 14.   14.   14.   14.  ]
[14],[15.44206112],[26],0.6,[10],0,0.000992752220172153,14.02,"[6.14421235e-006 2.47875218e-003 1.12535175e-007 1.03404366e-129
 2.47875218e-003]",[14.1 14.  14.  14.  14. ]
[14],[15.44206112],[27],0.6,[10],0,0.0013724376739285191,14.0,"[1.23409804e-004 6.73794700e-003 3.77513454e-011 1.03404366e-129
 8.31528719e-007]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[28],0.6,[10],0,0.0005661833215955825,14.0,"[1.67017008e-005 3.35462628e-004 1.02618796e-010 4.17162985e-127
 2.47875218e-003]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[29],0.6,[10],0,7.377321344686972e-05,14.0,"[1.67017008e-005 3.35462628e-004 3.77513454e-011 4.81749166e-144
 1.67017008e-005]",[14. 14. 14. 14. 14.]
[14],[15.44206112],[30],0.6,[10],0,0.004229311078818659,14.02,"[1.67017008e-005 1.83156389e-002 2.47875218e-003 9.18862622e-123
 3.35462628e-004]",[14.  14.  14.1 14.  14. ]
[15],[15.44206112],[10],0.6,[10],0,0.0027200270661953433,15.01,"[1.23409804e-004 6.73794700e-003 8.31528719e-007 1.45218892e-183
 6.73794700e-003]",[15.   15.   15.   15.   15.05]
[15],[15.44206112],[11],0.6,[10],0,0.0014180224172068534,15.209999999999999,"[1.67017008e-005 3.35462628e-004 7.58256043e-010 1.07303054e-182
 6.73794700e-003]",[15.   15.   15.   15.   16.05]
[15],[15.44206112],[12],0.6,[10],0,0.010025735041762244,15.0,"[6.14421235e-006 4.97870684e-002 6.91440011e-013 1.03039690e-205
 3.35462628e-004]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[13],0.6,[10],0,0.0018680217963436066,15.660000000000002,"[1.23409804e-004 6.73794700e-003 1.87952882e-012 2.80090916e-205
 2.47875218e-003]",[15.95 15.   15.   15.   17.35]
[15],[15.44206112],[14],0.6,[10],0,3.673363876415047e-06,15.169999999999998,"[8.31528719e-007 8.31528719e-007 2.06115362e-009 5.62577643e-204
 1.67017008e-005]",[15.75 15.   15.   15.   15.1 ]
[15],[15.44206112],[15],0.6,[10],0,0.0005048916575392308,15.2,"[3.05902321e-007 2.47875218e-003 2.78946809e-010 5.77310406e-214
 4.53999298e-005]",[15.75 15.   15.   15.   15.25]
[15],[15.44206112],[16],0.6,[10],0,0.0005052824881889826,15.080000000000002,"[4.53999298e-005 2.47875218e-003 5.10908903e-012 8.79242579e-222
 2.26032941e-006]",[15.4 15.  15.  15.  15. ]
[15],[15.44206112],[17],0.6,[10],0,3.966991658703626e-06,15.0,"[4.13993772e-008 1.67017008e-005 8.31528719e-007 2.17942446e-224
 2.26032941e-006]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[18],0.6,[10],0,0.0006781493354792448,15.0,"[1.12535175e-007 9.11881966e-004 6.30511676e-016 2.80090916e-205
 2.47875218e-003]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[19],0.6,[10],0,0.00020053636539180296,15.36,"[4.53999298e-005 9.11881966e-004 1.87952882e-012 3.73533395e-239
 4.53999298e-005]",[15.   16.35 15.   15.   15.45]
[15],[15.44206112],[20],0.6,[10],0,0.0002012858566169447,15.030000000000001,"[3.35462628e-004 3.35462628e-004 4.13993772e-008 1.61038896e-223
 3.35462628e-004]",[15.   15.   15.15 15.   15.  ]
[15],[15.44206112],[21],0.6,[10],0,0.009966555960548674,15.530000000000001,"[4.53999298e-005 3.05902321e-007 5.60279644e-009 4.15691777e-203
 4.97870684e-002]",[15.15 15.   15.   15.   17.5 ]
[15],[15.44206112],[22],0.6,[10],0,0.00020711994662306403,15.0,"[1.23409804e-004 9.11881966e-004 2.06115362e-009 5.13004407e-207
 3.05902321e-007]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[23],0.6,[10],0,9.178291792448441e-05,15.0,"[4.13993772e-008 1.23409804e-004 7.58256043e-010 2.06960749e-204
 3.35462628e-004]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[24],0.6,[10],0,0.0735765066059138,17.19,"[2.26032941e-006 8.31528719e-007 6.30511676e-016 8.01765451e-225
 3.67879441e-001]",[15.   15.25 15.   15.   25.7 ]
[15],[15.44206112],[25],0.6,[10],0,0.00025854896043326443,15.4,"[4.53999298e-005 3.35462628e-004 2.78946809e-010 2.55409855e-208
 9.11881966e-004]",[15. 17. 15. 15. 15.]
[15],[15.44206112],[26],0.6,[10],0,7.166998808465471e-05,15.0,"[6.14421235e-006 1.67017008e-005 4.13993772e-008 9.39600347e-209
 3.35462628e-004]",[15. 15. 15. 15. 15.]
[15],[15.44206112],[27],0.6,[10],0,0.00025854890742149135,15.2,"[4.53999298e-005 3.35462628e-004 1.38879439e-011 3.15200801e-212
 9.11881966e-004]",[15. 15. 15. 15. 16.]
[15],[15.44206112],[28],0.6,[10],0,0.0099587262035425,15.12,"[6.14421235e-006 4.97870684e-002 1.12535175e-007 1.61038896e-223
 3.05902321e-007]",[15.55 15.05 15.   15.   15.  ]
[15],[15.44206112],[29],0.6,[10],0,6.848782544619729e-05,15.1,"[8.31528719e-007 3.35462628e-004 7.58256043e-010 4.92621719e-230
 6.14421235e-006]",[15.5 15.  15.  15.  15. ]
[15],[15.44206112],[30],0.6,[10],0,0.0014237619141276815,15.09,"[4.53999298e-005 6.73794700e-003 1.38879439e-011 9.64206566e-219
 3.35462628e-004]",[15.3  15.   15.   15.   15.15]
[16],[15.44206112],[10],0.6,[10],0,0.00023174031512148086,16.36,"[1.23409804e-004 9.11881966e-004 1.87952882e-012 2.03223080e-313
 1.23409804e-004]",[17.8 16.  16.  16.  16. ]
[16],[15.44206112],[11],0.6,[10],0,0.000991667177432182,17.729999999999997,"[2.47875218e-003 8.31528719e-007 5.10908903e-012 3.39417170e-318
 2.47875218e-003]",[24.6  16.   16.   16.   16.05]
[16],[15.44206112],[12],0.6,[10],0,2.49094480470748e-05,16.21,"[1.23409804e-04 3.05902321e-07 5.10908903e-12 0.00000000e+00
 8.31528719e-07]",[16.   16.55 16.   16.   16.5 ]
[16],[15.44206112],[13],0.6,[10],0,9.698357578645673e-06,16.04,"[8.31528719e-07 2.26032941e-06 4.65888615e-15 0.00000000e+00
 4.53999298e-05]",[16.2 16.  16.  16.  16. ]
[16],[15.44206112],[14],0.6,[10],0,0.0099577462926107,16.770000000000003,"[8.31528719e-07 4.97870684e-02 3.77513454e-11 0.00000000e+00
 8.31528719e-07]",[16.   19.2  16.   16.   16.65]
[16],[15.44206112],[15],0.6,[10],0,0.0005204324520782575,17.43,"[2.78946809e-10 1.23409804e-04 6.91440011e-13 0.00000000e+00
 2.47875218e-03]",[16.6  16.   16.   16.   22.55]
